annotator_id,image_A,image_B,similarity,timestamp
annotator_0,Grace Kelly_000,Ishihara Satomi_001,1.00,2026-06-22T00:00:00Z
annotator_0,Ishihara Satomi_001,Song Hye-kyo_002,1.00,2026-06-22T00:00:00Z
annotator_0,Lee Ye bin_000,Wakana Matsumoto_000,1.00,2026-06-22T00:00:00Z
annotator_0,Thầm Nguyệt_003,Tina Tamshiro_001,1.00,2026-06-22T00:00:00Z
annotator_0,Deva Cassel_001,Kim Ji Won_004,1.00,2026-06-22T00:00:00Z
annotator_0,Aoi Yu_002,Lưu Diệp Phi_002,1.00,2026-06-22T00:00:00Z
annotator_0,Trương Mẫn_001,Đồng Lệ Á_001,1.00,2026-06-22T00:00:00Z
annotator_0,Phạm Băng Băng_000,Yui Asakura_003,1.00,2026-06-22T00:00:00Z
annotator_0,Deva Cassel_001,Hirose Suzu_004,1.00,2026-06-22T00:00:00Z
annotator_0,Anya Taylor Joy_002,Chu Lâm_000,1.00,2026-06-22T00:00:00Z
annotator_0,Asuka Saito_001,Diệp Toàn Chân_001,1.00,2026-06-22T00:00:00Z
annotator_0,Aoi Yu_002,Hashimoto Kana_000,1.00,2026-06-22T00:00:00Z
annotator_0,Chu Lâm_000,Trần Đức Dung_004,1.00,2026-06-22T00:00:00Z
annotator_0,Chu Lâm_000,Kim Claudia_001,1.00,2026-06-22T00:00:00Z
annotator_0,Chu Lâm_000,Đồng Lệ Á_001,1.00,2026-06-22T00:00:00Z
annotator_0,Anna Chipovskaya_000,Anya Taylor Joy_002,1.00,2026-06-22T00:00:00Z
annotator_0,Kim Claudia_001,Trần Đức Dung_004,1.00,2026-06-22T00:00:00Z
annotator_0,Blake Lively_003,Kim Ji Won_004,1.00,2026-06-22T00:00:00Z
annotator_0,Diana Frances Spencer_003,Phạm Băng Băng_000,1.00,2026-06-22T00:00:00Z
annotator_0,Lưu Hạo Tồn_004,Yui Asakura_003,1.00,2026-06-22T00:00:00Z
annotator_0,Dương Mịch_000,Phạm Băng Băng_000,1.00,2026-06-22T00:00:00Z
annotator_0,Anya Taylor Joy_002,Quan Hiểu Đồng_003,1.00,2026-06-22T00:00:00Z
annotator_0,Anna Chipovskaya_000,Lưu Hạo Tồn_004,1.00,2026-06-22T00:00:00Z
annotator_0,Diana Frances Spencer_003,Gisele Bunchen_003,1.00,2026-06-22T00:00:00Z
annotator_0,Châu Huệ Mẫn_000,Dương Mịch_000,1.00,2026-06-22T00:00:00Z
annotator_0,Riho Takada_001,Yui Asakura_003,1.00,2026-06-22T00:00:00Z
annotator_0,Ishihara Satomi_001,Phạm Băng Băng_000,1.00,2026-06-22T00:00:00Z
annotator_0,Deva Cassel_001,Trương Mẫn_001,1.00,2026-06-22T00:00:00Z
annotator_0,Kim Tae Hee_001,Trần Đức Dung_004,1.00,2026-06-22T00:00:00Z
annotator_0,Deva Cassel_001,Diana Frances Spencer_003,1.00,2026-06-22T00:00:00Z
annotator_0,Lưu Hạo Tồn_004,Thầm Nguyệt_003,1.00,2026-06-22T00:00:00Z
annotator_0,Blake Lively_003,Natsukawa Yui_003,1.00,2026-06-22T00:00:00Z
annotator_0,Lưu Diệp Phi_002,Tưởng Hân_001,1.00,2026-06-22T00:00:00Z
annotator_0,Phạm Băng Băng_000,Tưởng Cần Cần_002,1.00,2026-06-22T00:00:00Z
annotator_0,Blake Lively_003,Kudo Mio_004,1.00,2026-06-22T00:00:00Z
annotator_0,Lee Ye bin_000,Lưu Hạo Tồn_004,1.00,2026-06-22T00:00:00Z
annotator_0,Ishihara Satomi_001,Lý Thấm_002,1.00,2026-06-22T00:00:00Z
annotator_0,Lee Ye bin_000,Tina Tamshiro_001,1.00,2026-06-22T00:00:00Z
annotator_0,Kudo Mio_004,Vương Tổ Hiền_000,1.00,2026-06-22T00:00:00Z
annotator_0,Lynne Frederick_000,Lý Thấm_002,1.00,2026-06-22T00:00:00Z
annotator_0,Kim Claudia_001,Lý Thấm_002,1.00,2026-06-22T00:00:00Z
annotator_0,Alexandra Daddario_004,Vạn Thiến_001,1.00,2026-06-22T00:00:00Z
annotator_0,Alexandra Daddario_004,Vương Tổ Hiền_000,1.00,2026-06-22T00:00:00Z
annotator_0,Gisele Bunchen_003,Kudo Mio_004,1.00,2026-06-22T00:00:00Z
annotator_0,Natsukawa Yui_003,Vạn Thiến_001,1.00,2026-06-22T00:00:00Z
annotator_0,Anna Chipovskaya_000,Natsukawa Yui_003,1.00,2026-06-22T00:00:00Z
annotator_0,Kudo Mio_004,Lưu Diệp Phi_002,1.00,2026-06-22T00:00:00Z
annotator_0,Chu Lâm_000,Song Hye-kyo_002,1.00,2026-06-22T00:00:00Z
annotator_0,Asuka Saito_001,Grace Kelly_000,1.00,2026-06-22T00:00:00Z
annotator_0,Asuka Saito_001,Trần Đức Dung_004,1.00,2026-06-22T00:00:00Z
annotator_0,Ishihara Satomi_001,Lưu Diệp Phi_002,1.00,2026-06-22T00:00:00Z
annotator_0,Kim Claudia_001,Kudo Mio_004,1.00,2026-06-22T00:00:00Z
annotator_0,Kim Claudia_001,Lưu Diệp Phi_002,1.00,2026-06-22T00:00:00Z
annotator_0,Phương Lôi_001,Riho Takada_001,1.00,2026-06-22T00:00:00Z
annotator_0,Diệp Toàn Chân_001,Jang Won-young_004,1.00,2026-06-22T00:00:00Z
annotator_0,Diana Frances Spencer_003,Vương Tổ Hiền_000,1.00,2026-06-22T00:00:00Z
annotator_0,Asuka Saito_001,Nakama Yukie_004,1.00,2026-06-22T00:00:00Z
annotator_0,Lily Collins_000,Lynne Frederick_000,1.00,2026-06-22T00:00:00Z
annotator_0,Kim Tae Hee_001,Vạn Thiến_001,1.00,2026-06-22T00:00:00Z
annotator_0,Dương Mịch_000,Trương Mẫn_001,1.00,2026-06-22T00:00:00Z
annotator_0,Aragaki Yuko_001,Chu Lâm_000,1.00,2026-06-22T00:00:00Z
annotator_0,Blake Lively_003,Grace Kelly_000,1.00,2026-06-22T00:00:00Z
annotator_0,Lee Ju Eun_004,Lee Ye bin_000,1.00,2026-06-22T00:00:00Z
annotator_0,Dương Mịch_000,Kim Claudia_001,1.00,2026-06-22T00:00:00Z
annotator_0,Vạn Thiến_001,Winona Ryder_002,1.00,2026-06-22T00:00:00Z
annotator_0,Kim Claudia_001,Natsukawa Yui_003,1.00,2026-06-22T00:00:00Z
annotator_0,Phương Lôi_001,Vương Tổ Hiền_000,1.00,2026-06-22T00:00:00Z
annotator_0,Quan Hiểu Đồng_003,Yui Asakura_003,1.00,2026-06-22T00:00:00Z
annotator_0,Diana Frances Spencer_003,Winona Ryder_002,1.00,2026-06-22T00:00:00Z
annotator_0,Anya Taylor Joy_002,Lưu Hạo Tồn_004,1.00,2026-06-22T00:00:00Z
annotator_0,Lily Collins_000,Vương Tổ Hiền_000,1.00,2026-06-22T00:00:00Z
annotator_0,Kudo Mio_004,Thầm Nguyệt_003,1.00,2026-06-22T00:00:00Z
annotator_0,Phương Lôi_001,Trần Đức Dung_004,1.00,2026-06-22T00:00:00Z
annotator_0,Thầm Nguyệt_003,Tưởng Cần Cần_002,1.00,2026-06-22T00:00:00Z
annotator_0,Anna Chipovskaya_000,Lee Ju Eun_004,1.00,2026-06-22T00:00:00Z
annotator_0,Chu Lâm_000,Thầm Nguyệt_003,1.00,2026-06-22T00:00:00Z
annotator_0,Alexandra Daddario_004,Lee Ye bin_000,1.00,2026-06-22T00:00:00Z
annotator_0,Asuka Saito_001,Jang Won-young_004,1.00,2026-06-22T00:00:00Z
annotator_0,Lý Thấm_002,Wakana Matsumoto_000,1.00,2026-06-22T00:00:00Z
